vgs	Id(M2)	sqrt(Id(M2))
Step Information: Vds=300m  (Run: 1/6)
3.850000000000003e-001	7.662265e-006	2.768080e-003
3.860000000000003e-001	7.800680e-006	2.792970e-003
3.870000000000003e-001	7.941109e-006	2.817997e-003
3.880000000000003e-001	8.083573e-006	2.843163e-003
3.890000000000003e-001	8.228089e-006	2.868464e-003
3.900000000000003e-001	8.374673e-006	2.893903e-003
3.910000000000003e-001	8.523341e-006	2.919476e-003
3.920000000000003e-001	8.674114e-006	2.945185e-003
3.930000000000003e-001	8.827005e-006	2.971028e-003
3.940000000000003e-001	8.982033e-006	2.997004e-003
3.950000000000003e-001	9.139214e-006	3.023113e-003
3.960000000000003e-001	9.298563e-006	3.049355e-003
3.970000000000003e-001	9.460098e-006	3.075727e-003
3.980000000000003e-001	9.623835e-006	3.102231e-003
3.990000000000003e-001	9.789788e-006	3.128864e-003
4.000000000000003e-001	9.957976e-006	3.155626e-003
4.010000000000003e-001	1.012841e-005	3.182516e-003
4.020000000000003e-001	1.030111e-005	3.209534e-003
4.030000000000003e-001	1.047609e-005	3.236679e-003
4.040000000000003e-001	1.065336e-005	3.263949e-003
4.050000000000003e-001	1.083294e-005	3.291343e-003
4.060000000000003e-001	1.101484e-005	3.318862e-003
4.070000000000003e-001	1.119909e-005	3.346504e-003
4.080000000000003e-001	1.138568e-005	3.374267e-003
4.090000000000003e-001	1.157464e-005	3.402152e-003
4.100000000000003e-001	1.176597e-005	3.430157e-003
4.110000000000003e-001	1.195970e-005	3.458281e-003
4.120000000000003e-001	1.215584e-005	3.486523e-003
4.130000000000003e-001	1.235439e-005	3.514882e-003
4.140000000000003e-001	1.255538e-005	3.543357e-003
4.150000000000003e-001	1.275880e-005	3.571947e-003
4.160000000000003e-001	1.296469e-005	3.600651e-003
4.170000000000003e-001	1.317304e-005	3.629468e-003
4.180000000000003e-001	1.338387e-005	3.658397e-003
4.190000000000003e-001	1.359719e-005	3.687437e-003
4.200000000000003e-001	1.381301e-005	3.716586e-003
4.210000000000003e-001	1.403135e-005	3.745844e-003
4.220000000000003e-001	1.425220e-005	3.775209e-003
4.230000000000003e-001	1.447559e-005	3.804680e-003
4.240000000000003e-001	1.470153e-005	3.834257e-003
4.250000000000003e-001	1.493001e-005	3.863937e-003
4.260000000000003e-001	1.516106e-005	3.893721e-003
4.270000000000003e-001	1.539468e-005	3.923606e-003
4.280000000000003e-001	1.563088e-005	3.953591e-003
4.290000000000003e-001	1.586967e-005	3.983675e-003
4.300000000000003e-001	1.611105e-005	4.013858e-003
4.310000000000003e-001	1.635505e-005	4.044137e-003
4.320000000000003e-001	1.660165e-005	4.074512e-003
4.330000000000003e-001	1.685088e-005	4.104982e-003
4.340000000000003e-001	1.710273e-005	4.135544e-003
4.350000000000003e-001	1.735721e-005	4.166199e-003
4.360000000000003e-001	1.761434e-005	4.196944e-003
4.370000000000003e-001	1.787411e-005	4.227779e-003
4.380000000000003e-001	1.813654e-005	4.258701e-003
4.390000000000003e-001	1.840162e-005	4.289711e-003
4.400000000000003e-001	1.866937e-005	4.320807e-003
4.410000000000003e-001	1.893979e-005	4.351987e-003
4.420000000000003e-001	1.921288e-005	4.383250e-003
4.430000000000003e-001	1.948865e-005	4.414595e-003
4.440000000000003e-001	1.976710e-005	4.446020e-003
4.450000000000003e-001	2.004823e-005	4.477525e-003
4.460000000000003e-001	2.033206e-005	4.509108e-003
4.470000000000003e-001	2.061857e-005	4.540768e-003
4.480000000000003e-001	2.090779e-005	4.572503e-003
4.490000000000003e-001	2.119970e-005	4.604313e-003
4.500000000000003e-001	2.149431e-005	4.636196e-003
4.510000000000004e-001	2.179163e-005	4.668150e-003
4.520000000000004e-001	2.209164e-005	4.700175e-003
4.530000000000004e-001	2.239437e-005	4.732269e-003
4.540000000000004e-001	2.269980e-005	4.764431e-003
4.550000000000004e-001	2.300794e-005	4.796659e-003
4.560000000000004e-001	2.331879e-005	4.828953e-003
4.570000000000004e-001	2.363234e-005	4.861311e-003
4.580000000000004e-001	2.394861e-005	4.893732e-003
4.590000000000004e-001	2.426759e-005	4.926214e-003
4.600000000000004e-001	2.458927e-005	4.958757e-003
4.610000000000004e-001	2.491366e-005	4.991358e-003
4.620000000000004e-001	2.524076e-005	5.024018e-003
4.630000000000004e-001	2.557056e-005	5.056734e-003
4.640000000000004e-001	2.590306e-005	5.089505e-003
4.650000000000004e-001	2.623827e-005	5.122331e-003
4.660000000000004e-001	2.657618e-005	5.155209e-003
4.670000000000004e-001	2.691678e-005	5.188139e-003
4.680000000000004e-001	2.726008e-005	5.221119e-003
4.690000000000004e-001	2.760608e-005	5.254148e-003
4.700000000000004e-001	2.795476e-005	5.287226e-003
4.710000000000004e-001	2.830613e-005	5.320350e-003
4.720000000000004e-001	2.866018e-005	5.353520e-003
4.730000000000004e-001	2.901690e-005	5.386734e-003
4.740000000000004e-001	2.937631e-005	5.419991e-003
4.750000000000004e-001	2.973838e-005	5.453291e-003
4.760000000000004e-001	3.010312e-005	5.486631e-003
4.770000000000004e-001	3.047052e-005	5.520010e-003
4.780000000000004e-001	3.084057e-005	5.553429e-003
4.790000000000004e-001	3.121328e-005	5.586884e-003
4.800000000000004e-001	3.158863e-005	5.620376e-003
4.810000000000004e-001	3.196662e-005	5.653903e-003
4.820000000000004e-001	3.234725e-005	5.687464e-003
4.830000000000004e-001	3.273050e-005	5.721058e-003
4.840000000000004e-001	3.311638e-005	5.754683e-003
4.850000000000004e-001	3.350487e-005	5.788339e-003
4.860000000000004e-001	3.389597e-005	5.822025e-003
4.870000000000004e-001	3.428968e-005	5.855739e-003
4.880000000000004e-001	3.468598e-005	5.889480e-003
4.890000000000004e-001	3.508487e-005	5.923248e-003
4.900000000000004e-001	3.548634e-005	5.957041e-003
4.910000000000004e-001	3.589039e-005	5.990858e-003
4.920000000000004e-001	3.629699e-005	6.024699e-003
4.930000000000004e-001	3.670617e-005	6.058561e-003
4.940000000000004e-001	3.711789e-005	6.092445e-003
4.950000000000004e-001	3.753215e-005	6.126349e-003
4.960000000000004e-001	3.794895e-005	6.160272e-003
4.970000000000004e-001	3.836827e-005	6.194213e-003
4.980000000000004e-001	3.879011e-005	6.228171e-003
4.990000000000004e-001	3.921446e-005	6.262145e-003
5.000000000000003e-001	3.964132e-005	6.296135e-003
5.010000000000003e-001	4.007066e-005	6.330139e-003
5.020000000000003e-001	4.050248e-005	6.364156e-003
5.030000000000003e-001	4.093678e-005	6.398186e-003
5.040000000000003e-001	4.137354e-005	6.432227e-003
5.050000000000003e-001	4.181276e-005	6.466278e-003
5.060000000000003e-001	4.225441e-005	6.500340e-003
